date,open,high,low,close,adjusted close,volume,symbol,company
5/15/2020,300.35,307.9,300.21,307.71,76.29475269,41587094,AAPL,Apple Inc
5/18/2020,313.17,316.5,310.32,314.96,78.09234444,33843125,AAPL,Apple Inc
5/19/2020,315.03,318.52,313.01,313.14,77.64108692,25432385,AAPL,Apple Inc
5/20/2020,316.68,319.52,316.52,319.23,79.15106399,27876215,AAPL,Apple Inc
5/21/2020,318.66,320.89,315.87,316.85,78.56095801,25672211,AAPL,Apple Inc
5/22/2020,315.77,319.23,315.35,318.89,79.06676314,20450754,AAPL,Apple Inc
5/26/2020,323.5,324.24,316.5,316.73,78.53120477,31380454,AAPL,Apple Inc
5/27/2020,316.14,318.71,313.09,318.11,78.87336706,28236274,AAPL,Apple Inc
5/28/2020,316.77,323.44,315.63,318.25,78.90807918,33449103,AAPL,Apple Inc
5/29/2020,319.25,321.15,316.47,317.94,78.83121663,38399532,AAPL,Apple Inc
6/1/2020,317.75,322.35,317.21,321.85,79.80067646,20254653,AAPL,Apple Inc
6/2/2020,320.75,323.44,318.93,323.34,80.17011255,21910704,AAPL,Apple Inc
6/3/2020,324.66,326.2,322.3,325.12,80.61145232,26122804,AAPL,Apple Inc
6/4/2020,324.39,325.62,320.78,322.32,79.91720999,21890091,AAPL,Apple Inc
6/5/2020,323.35,331.75,323.23,331.5,82.19333306,34312550,AAPL,Apple Inc
6/8/2020,330.25,333.6,327.32,333.46,82.67930269,23913634,AAPL,Apple Inc
6/9/2020,332.14,345.61,332.01,343.99,85.29014974,36928091,AAPL,Apple Inc
6/10/2020,347.9,354.77,346.09,352.84,87.48445139,41662938,AAPL,Apple Inc
6/11/2020,349.31,351.06,335.48,335.9,83.28428529,50415613,AAPL,Apple Inc
6/12/2020,344.72,347.8,334.22,338.8,84.00332199,50036513,AAPL,Apple Inc
6/15/2020,333.25,345.68,332.58,342.99,85.04220605,34702230,AAPL,Apple Inc
6/16/2020,351.46,353.2,344.72,352.08,87.29601419,41357182,AAPL,Apple Inc
6/17/2020,355.15,355.4,351.09,351.59,87.17452178,28601626,AAPL,Apple Inc
6/18/2020,351.41,353.45,349.22,351.73,87.2092339,24205096,AAPL,Apple Inc
6/19/2020,354.64,356.56,345.15,349.72,86.71086708,66118952,AAPL,Apple Inc
6/22/2020,351.34,359.46,351.15,358.87,88.97955184,33861316,AAPL,Apple Inc
6/23/2020,364,372.38,362.27,366.53,90.8788005,53038869,AAPL,Apple Inc
6/24/2020,365,368.79,358.52,360.06,89.27460483,48155849,AAPL,Apple Inc
6/25/2020,360.7,365,357.57,364.84,90.45977567,34380628,AAPL,Apple Inc
6/26/2020,364.41,365.32,353.02,353.63,87.68032691,51314211,AAPL,Apple Inc
6/29/2020,353.25,362.1736,351.28,361.78,89.70106798,32661519,AAPL,Apple Inc
6/30/2020,360.08,365.98,360,364.8,90.44985792,35055821,AAPL,Apple Inc
7/1/2020,365.12,367.36,363.91,364.11,90.27877677,27690454,AAPL,Apple Inc
7/2/2020,367.85,370.47,363.64,364.11,90.27877677,28814516,AAPL,Apple Inc
7/6/2020,370,375.78,369.87,373.85,92.69374831,29745936,AAPL,Apple Inc
7/7/2020,375.41,378.62,372.23,372.69,92.40613363,28206999,AAPL,Apple Inc
7/8/2020,376.72,381.5,376.36,381.37,94.55828485,29274479,AAPL,Apple Inc
7/9/2020,385.05,385.27,378.69,383.01,94.96491251,31420357,AAPL,Apple Inc
7/10/2020,381.34,383.92,378.82,383.68,95.13103478,22564330,AAPL,Apple Inc
7/13/2020,389.06,399.82,381.03,381.91,94.69217445,47913079,AAPL,Apple Inc
7/14/2020,379.36,389.02,375.51,388.23,96.25917856,42748119,AAPL,Apple Inc
7/15/2020,395.96,396.99,385.96,390.9,96.92118822,38306874,AAPL,Apple Inc
7/16/2020,386.25,389.62,383.62,386.09,95.72857907,27645927,AAPL,Apple Inc
7/17/2020,387.95,388.59,383.36,385.31,95.53518299,23046755,AAPL,Apple Inc
7/20/2020,385.67,394,384.25,393.43,97.54848575,22397208,AAPL,Apple Inc
7/21/2020,396.69,397,386.97,388,96.20215152,25627347,AAPL,Apple Inc
7/22/2020,386.77,391.9,386.41,389.09,96.47241014,22250413,AAPL,Apple Inc
7/23/2020,387.9935,388.31,368.039,371.38,92.0813274,49251108,AAPL,Apple Inc
7/24/2020,363.95,371.88,356.58,370.46,91.8532192,46359716,AAPL,Apple Inc
7/27/2020,374.84,379.62,373.92,379.24,94.0301648,30303548,AAPL,Apple Inc
7/28/2020,377.47,378.1986,372.99,373.01,92.48547561,25906375,AAPL,Apple Inc
7/29/2020,375,380.92,374.85,380.16,94.25827299,22582314,AAPL,Apple Inc
7/30/2020,376.75,385.19,375.07,384.76,95.39881396,39532505,AAPL,Apple Inc
7/31/2020,411.535,425.66,403.3,425.04,105.3859858,93573867,AAPL,Apple Inc
8/3/2020,432.8,446.5457,431.57,435.75,108.0414627,77037847,AAPL,Apple Inc
8/4/2020,436.53,443.16,433.55,438.66,108.7629788,43198092,AAPL,Apple Inc
8/5/2020,437.51,441.57,435.59,440.25,109.1572093,30497988,AAPL,Apple Inc
8/6/2020,441.62,457.65,439.19,455.61,112.9656244,50607225,AAPL,Apple Inc
8/7/2020,452.82,454.7,441.17,444.45,110.4018866,49511403,AAPL,Apple Inc
8/10/2020,450.4,455.1,440,450.91,112.006558,53100856,AAPL,Apple Inc
8/11/2020,447.875,449.93,436.4267,437.5,108.6754987,46975594,AAPL,Apple Inc
8/12/2020,441.99,453.1,441.19,452.04,112.2872513,41486205,AAPL,Apple Inc
8/13/2020,457.72,464.17,455.71,460.04,114.2744604,52520516,AAPL,Apple Inc
8/14/2020,459.315,460,452.18,459.63,114.1726159,41391302,AAPL,Apple Inc
8/17/2020,464.25,464.35,455.8501,458.43,113.8745345,29431414,AAPL,Apple Inc
8/18/2020,457.41,464,456.03,462.25,114.8234269,26408385,AAPL,Apple Inc
8/19/2020,463.933,468.65,462.44,462.83,114.9674996,36384502,AAPL,Apple Inc
8/20/2020,463,473.568,462.9335,473.1,117.5185793,31726797,AAPL,Apple Inc
8/21/2020,477.05,499.472,477,497.48,123.5745991,84513660,AAPL,Apple Inc
8/24/2020,514.79,515.14,495.745,503.43,125.0525858,86484442,AAPL,Apple Inc
8/25/2020,498.79,500.7172,492.21,499.3,124.0266891,52873947,AAPL,Apple Inc
8/26/2020,504.7165,507.97,500.33,506.09,125.7133329,40755567,AAPL,Apple Inc
8/27/2020,508.57,509.94,495.33,500.04,124.210506,38888096,AAPL,Apple Inc
8/28/2020,504.05,505.77,498.31,499.23,124.0093011,46907479,AAPL,Apple Inc
8/31/2020,127.58,131,126,129.04,128.2147324,223505733,AAPL,Apple Inc
9/1/2020,132.76,134.8,130.53,134.18,133.3218598,152470142,AAPL,Apple Inc
9/2/2020,137.59,137.98,127,131.4,130.5596391,200118991,AAPL,Apple Inc
9/3/2020,126.91,128.84,120.5,120.88,120.1069191,257599640,AAPL,Apple Inc
9/4/2020,120.07,123.7,110.89,120.96,120.1864075,332607163,AAPL,Apple Inc
9/8/2020,113.95,118.99,112.68,112.82,112.0984664,231366563,AAPL,Apple Inc
9/9/2020,117.26,119.14,115.26,117.32,116.5696869,176940455,AAPL,Apple Inc
9/10/2020,120.36,120.5,112.5,113.49,112.7641815,182274391,AAPL,Apple Inc
9/11/2020,114.57,115.23,110,112,111.2837107,180860325,AAPL,Apple Inc
9/14/2020,114.72,115.93,112.8,115.355,114.617254,140150087,AAPL,Apple Inc
9/15/2020,118.33,118.829,113.61,115.54,114.8010708,184642039,AAPL,Apple Inc
9/16/2020,115.23,116,112.04,112.13,111.4128793,155026675,AAPL,Apple Inc
9/17/2020,109.72,112.2,108.71,110.34,109.6343271,178010968,AAPL,Apple Inc
9/18/2020,110.4,110.88,106.09,106.84,106.1567111,287104882,AAPL,Apple Inc
9/21/2020,104.54,110.19,103.1,110.08,109.3759899,195713815,AAPL,Apple Inc
9/22/2020,112.68,112.86,109.16,111.81,111.0949258,183055373,AAPL,Apple Inc
9/23/2020,111.62,112.11,106.77,107.12,106.4349204,150718671,AAPL,Apple Inc
9/24/2020,105.17,110.25,105,108.22,107.5278854,167743349,AAPL,Apple Inc
9/25/2020,108.43,112.44,107.67,112.28,111.5619199,149981441,AAPL,Apple Inc
9/28/2020,115.01,115.32,112.78,114.96,114.2247802,137672403,AAPL,Apple Inc
9/29/2020,114.55,115.31,113.57,114.09,113.3603442,100060526,AAPL,Apple Inc
9/30/2020,113.79,117.26,113.62,115.81,115.069344,142675184,AAPL,Apple Inc
10/1/2020,117.64,117.72,115.83,116.79,116.0430765,116120440,AAPL,Apple Inc
10/2/2020,112.89,115.37,112.22,113.02,112.2971873,144711986,AAPL,Apple Inc
10/5/2020,113.91,116.65,113.55,116.5,115.7549312,106243839,AAPL,Apple Inc
10/6/2020,115.7,116.12,112.25,113.16,112.4362919,161498212,AAPL,Apple Inc
10/7/2020,114.62,115.55,114.13,115.08,114.3440127,96848985,AAPL,Apple Inc
10/8/2020,116.25,116.4,114.5901,114.97,114.2347162,83477153,AAPL,Apple Inc
10/9/2020,115.28,117,114.92,116.97,116.2219253,100506865,AAPL,Apple Inc
10/12/2020,120.06,125.18,119.2845,124.4,123.6044072,240226769,AAPL,Apple Inc
10/13/2020,125.27,125.39,119.65,121.1,120.3255121,262330451,AAPL,Apple Inc
10/14/2020,121,123.03,119.62,121.19,120.4149366,151062308,AAPL,Apple Inc
10/15/2020,118.72,121.2,118.15,120.71,119.9380064,112559219,AAPL,Apple Inc
10/16/2020,121.28,121.548,118.81,119.02,118.2588147,115393808,AAPL,Apple Inc
10/19/2020,119.96,120.419,115.66,115.98,115.2382568,120639337,AAPL,Apple Inc
10/20/2020,116.2,118.98,115.63,117.51,116.7584718,124423728,AAPL,Apple Inc
10/21/2020,116.67,118.705,116.45,116.87,116.1225649,89945980,AAPL,Apple Inc
10/22/2020,117.45,118.04,114.59,115.75,115.0097278,101987954,AAPL,Apple Inc
10/23/2020,116.39,116.55,114.28,115.04,114.3042685,82572645,AAPL,Apple Inc
10/26/2020,114.01,116.55,112.88,115.05,114.3142046,111850657,AAPL,Apple Inc
10/27/2020,115.49,117.28,114.5399,116.6,115.8542916,92276772,AAPL,Apple Inc
10/28/2020,115.05,115.43,111.1,111.2,110.488827,143937823,AAPL,Apple Inc
10/29/2020,112.37,116.93,112.2,115.32,114.5824778,146129173,AAPL,Apple Inc
10/30/2020,111.06,111.99,107.72,108.86,108.1637923,190573476,AAPL,Apple Inc
11/2/2020,109.11,110.68,107.32,108.77,108.0743679,122866899,AAPL,Apple Inc
11/3/2020,109.66,111.49,108.73,110.44,109.7336875,107624448,AAPL,Apple Inc
